Id,TamanhoPacote__c,CollectPoint__Latitude__s,CollectPoint__Longitude__s,DeliveryPoint__Latitude__s,DeliveryPoint__Longitude__s,CreatedDate
a9451e0c97199724d8edfc301ea8ca65,Alta,-23.48988814879191,-46.37265745864769,-23.679775123453,-46.75675398689416,2017-07-30 22:57:22
a7fdfd7d7ae7a53a8232d6d0d7db215b,Alta,-23.48988814879191,-46.37265745864769,-23.4967913119626,-46.555892863725546,2018-06-22 15:56:33
18cc6945eeb0fac797b1e48e96bb7ad7,Alta,-23.48988814879191,-46.37265745864769,-23.484869015263445,-46.55279727768482,2018-01-15 15:38:06
1f87ac3f856bae9e742538bc551bdf5b,Alta,-23.48988814879191,-46.37265745864769,-23.54627311241268,-46.64122516971552,2017-10-27 12:38:18
7741a0c0ccbb42c74fb27c570c7e5354,Alta,-23.48988814879191,-46.37265745864769,-23.484915471002324,-46.43150265889548,2018-03-04 13:00:43
d1f33b61660ded36d0c00f6094a1de7d,Alta,-23.48988814879191,-46.37265745864769,-23.199327910749645,-45.88679387947946,2017-11-15 11:26:51
6bfebeac835b97870a72461537c137ec,Alta,-23.48988814879191,-46.37265745864769,-23.581488112890288,-46.70849486306929,2018-05-07 20:24:15
730062427b00e91a6d7aa369269e2744,Alta,-23.48988814879191,-46.37265745864769,-23.516028272000653,-46.497612122396,2018-05-06 15:11:26
fbc769defaa6da4bbabdbbb7c93feccf,Alta,-23.48988814879191,-46.37265745864769,-23.70288935568095,-46.78277476116848,2017-07-22 13:57:25
9582525f4356350d097a44d90372e024,Alta,-23.48988814879191,-46.37265745864769,-22.970507070229026,-49.90661768956661,2017-07-13 21:02:18
b2059ed67ce144a36e2aa97d2c9e9ad2,Média,-23.48988814879191,-46.37265745864769,-23.527788191788307,-46.66030962184773,2018-05-19 16:07:45
8f3c52ba80c75571b11705b0405b8696,Média,-23.48988814879191,-46.37265745864769,-23.108459384738463,-48.256121730784905,2018-03-15 12:13:51
dda16909ad9bfd9cded321b79e073749,Alta,-23.48988814879191,-46.37265745864769,-23.53841810407414,-46.634778375266734,2017-11-18 12:48:38
e8c8faf5a3bf5f4897ae8ca83902afe8,Média,-23.48988814879191,-46.37265745864769,-23.56180273327946,-46.63479182904371,2017-07-29 08:54:32
681a34bb485c77196838976dbbbdf8d7,Alta,-23.48988814879191,-46.37265745864769,-21.126845368024707,-48.98932863142702,2017-08-19 20:39:47
a24d08cc90fa49d3bb3be98d915423e3,Média,-23.48988814879191,-46.37265745864769,-23.63602166887882,-46.65068692951116,2018-02-02 15:52:51
0d56e8508b66a43c6f5141863185c917,Alta,-23.48988814879191,-46.37265745864769,-23.71719840652404,-46.395777768729744,2018-02-28 20:23:05
a20eb879de62e2e2ef54074f5f71db9f,Alta,-23.48988814879191,-46.37265745864769,-23.518515212070696,-46.89450998264022,2018-01-30 10:01:23
951670f92359f4fe4a63112aa7306eba,Alta,-23.48988814879191,-46.37265745864769,-23.49693002789165,-46.185351975305366,2018-03-13 16:06:38
d14713175ab3ff245a441613d7242f3b,Alta,-23.48988814879191,-46.37265745864769,-21.01874823813636,-48.6485935746869,2017-07-10 16:26:05
8ed9bbf52d875aa480a636c3cc1b6dc5,Alta,-23.48988814879191,-46.37265745864769,-23.556360816149585,-46.59062464472048,2017-05-06 20:58:27
681c82d8dee3250b148aaabdd68a59ff,Alta,-23.48988814879191,-46.37265745864769,-23.582330395070443,-46.55697093689357,2018-02-28 15:39:15
0da3d957e0cb653342e21f6dc6eaabea,Alta,-23.48988814879191,-46.37265745864769,-23.539871462115528,-46.52654178420568,2018-01-22 15:51:01
d3b793b04fe8ed20805d6c19cf00c0d3,Alta,-23.48988814879191,-46.37265745864769,-22.54610762836861,-47.38361823827112,2017-07-29 12:35:14
